9293at5125	scaffold_8	499072	511993
42672at5125	scaffold_5	213791	224727
57925at5125	scaffold_1	247797	258848
60346at5125	scaffold_6	939708	949998
23905at5125	scaffold_3	2875070	2885699
20447at5125	scaffold_6	1787698	1799669
8567at5125	scaffold_4	3420253	3432487
8567at5125	scaffold_5	3612791	3625064
8567at5125	scaffold_3	1977419	1989543
47201at5125	scaffold_4	3198231	3209508
55057at5125	scaffold_2	2426968	2437609
52992at5125	scaffold_6	3047962	3058846
53275at5125	scaffold_2	3678217	3688732
53275at5125	scaffold_4	457616	468137
53275at5125	scaffold_3	3547767	3558208
26923at5125	scaffold_6	2974571	2986106
56691at5125	scaffold_2	3769286	3780495
58799at5125	scaffold_7	215343	225588
58799at5125	scaffold_1	4650788	4661021
58799at5125	scaffold_2	1980994	1991230
46680at5125	scaffold_1	1284775	1295794
44249at5125	scaffold_7	1563406	1574330
32263at5125	scaffold_3	2748005	2759341
27383at5125	scaffold_4	3013373	3024422
53715at5125	scaffold_1	3530382	3541239
55441at5125	scaffold_6	158585	169794
21066at5125	scaffold_2	4156741	4169011
14516at5125	scaffold_2	4578111	4590045
34290at5125	scaffold_7	2110767	2122281
34290at5125	scaffold_6	1134832	1146229
46405at5125	scaffold_2	1941062	1952093
58123at5125	scaffold_3	3923202	3934128
54842at5125	scaffold_1	3596141	3607106
38748at5125	scaffold_2	3053026	3064066
49005at5125	scaffold_6	1256188	1267061
28091at5125	scaffold_2	3719388	3730506
28091at5125	scaffold_8	2079874	2091106
28091at5125	scaffold_5	796230	807520
53169at5125	scaffold_8	478521	489495
53169at5125	scaffold_4	1465562	1475945
51654at5125	scaffold_5	3035952	3047404
57858at5125	scaffold_4	2416277	2426882
33298at5125	scaffold_4	1888157	1899758
61111at5125	scaffold_1	4457941	4468675
54764at5125	scaffold_5	223756	235040
59215at5125	scaffold_6	528071	538749
21318at5125	scaffold_4	1478831	1491053
35847at5125	scaffold_5	1659370	1671153
55088at5125	scaffold_3	4344181	4354955
34094at5125	scaffold_3	2544176	2556111
56234at5125	scaffold_5	1059116	1069542
57999at5125	scaffold_3	4321945	4332742
55325at5125	scaffold_2	3662108	3672725
36618at5125	scaffold_7	653486	665122
14934at5125	scaffold_2	2763575	2775429
14934at5125	scaffold_3	40654	52657
52238at5125	scaffold_3	13239	24231
39838at5125	scaffold_6	609502	620617
49229at5125	scaffold_7	2703915	2714781
43381at5125	scaffold_2	3226207	3237793
57818at5125	scaffold_1	2835001	2845306
54085at5125	scaffold_4	1380900	1391400
54606at5125	scaffold_6	160205	170808
46141at5125	scaffold_5	2806195	2817064
58983at5125	scaffold_5	2854080	2864970
59791at5125	scaffold_1	4979917	4990630
46175at5125	scaffold_4	1504677	1515553
9670at5125	scaffold_3	1793125	1805838
40039at5125	scaffold_7	1098223	1109500
3974at5125	scaffold_7	2369111	2385408
50799at5125	scaffold_1	5032365	5045711
31071at5125	scaffold_4	830904	842253
38123at5125	scaffold_4	449898	461015
38123at5125	scaffold_6	1716305	1727329
44813at5125	scaffold_8	552113	563295
56019at5125	scaffold_2	3851380	3862528
52116at5125	scaffold_4	2228206	2238916
58876at5125	scaffold_2	621672	632109
20162at5125	scaffold_1	2119743	2131272
47165at5125	scaffold_1	325046	336567
45935at5125	scaffold_1	552406	563413
42045at5125	scaffold_3	1806793	1817431
42045at5125	scaffold_5	1578989	1589654
1954at5125	scaffold_3	3124760	3139421
52270at5125	scaffold_8	394742	405365
51159at5125	scaffold_8	352221	363060
51159at5125	scaffold_3	3264266	3274973
35201at5125	scaffold_1	910313	921542
55565at5125	scaffold_1	3816987	3827715
55945at5125	scaffold_7	739451	750404
45370at5125	scaffold_4	1674139	1685163
50032at5125	scaffold_1	4846105	4857809
57293at5125	scaffold_6	2462238	2472792
44315at5125	scaffold_4	1021820	1032776
33747at5125	scaffold_2	788704	800425
49832at5125	scaffold_1	5355774	5366697
43488at5125	scaffold_2	386543	397683
56770at5125	scaffold_3	1995058	2005312
57251at5125	scaffold_1	5085068	5095760
40982at5125	scaffold_4	3407664	3419339
2198at5125	scaffold_3	2763578	2775517
60078at5125	scaffold_8	406043	416897
48283at5125	scaffold_7	1347279	1358177
47311at5125	scaffold_4	1510266	1521399
30558at5125	scaffold_3	53417	64603
